source_id,l,b,distance,distance[pc][stilism],reddening[mag][stilism],distance_uncertainty[pc][stilism],reddening_uncertainty_min[mag][stilism],reddening_uncertainty_max[mag][stilism],Green2015_EBV,Green2019_EBV,,,,
250484865,211.5948169,-9.034951556,95.89483,95.895,0.001,13,0.015,0.015,0.018681569,0,,,,
251094370,175.2774179,-57.79797532,291.1026,291.103,0.024,42,0.02,0,0.002085513,0.06,,,,
251848941,357.2956323,-84.10341799,62.96028,62.96,0.001,13,0.015,0.015,nan,0,,,,
255685030,261.3387386,-23.77075928,158.2849,158.285,0.003,20,0.014,0.014,0.007155114,nan,,,,
258804746,160.6381802,-47.06597581,36.0301,36.03,0.001,13,0.014,0.014,nan,0,,,,
259592689,261.7254476,-39.03504995,120.2666,120.267,0.001,16,0.013,0.013,nan,nan,,,,
259701242,261.5931651,-38.16197869,64.33571,64.336,0.001,14,0.014,0.014,nan,nan,,,,
260004324,263.5573236,-28.57431964,29.81243,29.812,0,13,0.014,0.014,nan,nan,,,,
260417932,263.2475745,-25.70371648,85.72744,85.727,0.001,15,0.014,0.014,nan,nan,,,,
260708537,267.8375526,-25.12315632,15.21954,15.22,0,13,0.014,0.014,nan,nan,,,,
261136679,292.5134984,-29.77632079,18.29307,18.293,0.001,12,0.015,0.015,nan,nan,,,,
261257684,295.324498,-28.52474285,46.09952,46.1,0.002,12,0.015,0.015,0.037351307,nan,,,,
262435954,197.4001694,-25.19471803,210.9461,210.946,0.021,22,0.022,0.022,0.006565232,0,,,,
264979636,210.7364896,15.42417911,158.934,158.934,0.01,17,0.017,0.017,nan,0,,,,
266980320,325.6110448,-55.9280498,94.2912,94.291,0.003,13,0.015,0.015,0.013470051,nan,,,,
270380593,159.0904202,-54.7602096,122.0958,122.096,0.008,15,0.015,0.015,nan,0,,,,
271478281,9.603494542,-26.770726,19.55405,19.554,0.001,12,0.015,0.015,0.057508424,0,,,,
274194927,183.3749417,-40.85817369,311.9968,311.997,0.051,39,0.031,0.031,nan,0.11,,,,
277683130,330.6117153,-44.86996408,192.5218,192.522,0.008,19,0.017,0.017,0.032341227,nan,,,,
277871306,244.5565394,46.43146004,155.4067,155.407,0.011,19,0.016,0.016,nan,0,,,,
278683844,267.3771168,-24.61618857,66.83816,66.838,0.001,14,0.014,0.014,0.045542818,nan,,,,
282576340,206.9458417,-11.22203213,154.993,154.993,0.022,16,0.017,0.017,nan,0,,,,
299799658,296.4967069,-37.81241413,82.46352,82.464,0.003,12,0.016,0.016,nan,nan,,,,
300013921,279.2925935,-23.5418524,145.9253,145.925,0.005,15,0.017,0.017,,nan,,,,
300293197,279.8543051,-22.48896201,,0,0,13,0.014,0.014,nan,,,,,
300812741,283.1481355,-21.13076433,59.95412,59.954,0.003,12,0.016,0.016,nan,nan,,,,
307210830,281.8155011,-17.59292896,10.61015,10.61,0,13,0.015,0.015,0.03356958,nan,,,,
308883808,252.7250447,34.51594341,331.7672,331.767,0.039,48,0.023,0.023,nan,0.049999997,,,,
308919449,279.186308,-17.03764547,130.0291,130.029,0.005,14,0.016,0.016,nan,nan,,,,
309792357,268.7660976,-34.55054072,101.9095,101.909,0.001,15,0.014,0.014,0.012562613,nan,,,,
311183180,180.3219434,-37.55080019,62.51162,62.512,0.001,13,0.014,0.014,nan,0,,,,
314865962,288.4918486,-39.5271573,149.0987,149.099,0.007,16,0.016,0.016,nan,nan,,,,
316769613,8.519335979,-73.26266218,130.975,130.975,0.002,16,0.015,0.015,0.000265379,nan,,,,
318753380,170.2155212,-51.35316804,23.92042,23.92,0,13,0.014,0.014,0.01340182,0,,,,
318812447,168.5088577,-48.72889395,178.1388,178.139,0.017,20,0.017,0.017,nan,0,,,,
320004517,343.0619236,-27.69910581,56.84409,56.844,0.006,11,0.016,0.016,nan,nan,,,,
323295479,296.2371804,-23.71993311,135.1109,135.111,0.008,14,0.017,0.017,nan,nan,,,,
327301957,322.204938,-34.21610592,107.8295,107.829,0.005,12,0.016,0.016,nan,nan,,,,
339961200,270.1637755,-18.10292543,95.74658,95.747,0.002,14,0.014,0.014,0.004471915,nan,,,,
344926234,236.0045787,44.29826419,93.30325,93.303,0.004,15,0.015,0.015,,0,,,,
348770361,297.8159482,-33.41786448,,0,0,13,0.014,0.014,0.015166251,,,,,
350293646,224.9109971,25.83586854,100.5366,100.537,0.004,14,0.015,0.015,nan,0,,,,
354519019,249.4800618,-32.57849187,102.9516,102.952,0.001,15,0.014,0.014,nan,nan,,,,
364393429,276.3057188,-18.51645701,113.9827,113.983,0.003,14,0.016,0.016,nan,nan,,,,
372172128,323.7727956,-35.17671907,265.1673,265.167,0.027,30,0.018,0.018,0.000507719,nan,,,,
377064495,230.8491142,42.7298725,84.62241,84.622,0.003,14,0.015,0.015,nan,0.01,,,,
382068562,263.9143311,-35.04162225,252.6107,252.611,0.005,32,0.016,0.016,nan,nan,,,,
382626661,278.0029999,-18.33527119,82.63113,82.631,0.003,13,0.015,0.015,0.030941436,nan,,,,
385332171,287.6983291,45.03632423,321.3041,321.304,0.043,44,0.018,0.018,0.039003804,0.03,,,,
398943781,300.6537639,32.19222866,163.8714,163.871,0.025,16,0.018,0.018,nan,0,,,,
403224672,328.7020281,-49.93594631,47.81317,47.813,0.003,12,0.015,0.015,nan,nan,,,,
405425498,320.6150254,-44.11075063,168.7178,168.718,0.007,16,0.016,0.016,nan,nan,,,,
406976746,307.4913343,-21.56186871,61.35388,61.354,0.004,12,0.016,0.016,0.000273717,nan,,,,
413248763,253.8846597,22.0829667,9.437354,9.437,0,13,0.014,0.014,0.00061505,0,,,,
415969908,43.77744195,-62.01921553,33.74524,33.745,0.001,12,0.015,0.015,0.007818908,0,,,,
420051632,165.4747527,-53.86089337,86.43676,86.437,0.004,14,0.014,0.014,0.017224612,0,,,,
423670610,106.1938699,-79.68911729,359.463,300,0.012,54,0.018,0.018,nan,0.02,,,,
425997655,277.0263416,-44.84770881,39.11637,39.116,0.001,13,0.014,0.014,0.003499482,nan,,,,
429304876,274.3278529,35.1904995,83.77138,83.771,0.002,13,0.015,0.015,0.02107823,0,,,,
437242640,272.9185861,32.5319038,131.5083,131.508,0.007,16,0.016,0.016,0.00179271,0,,,,
440887364,336.9319015,29.77675301,27.52126,27.521,0.001,12,0.016,0.016,2.77E-05,0,,,,
441420236,12.65461309,-36.80249502,9.7157,9.716,0,12,0.015,0.015,0.025946561,nan,,,,
444013020,219.4061514,30.91918534,276.3009,276.301,0.023,34,0.017,0.017,0.000619917,0.049999997,,,,
453211454,211.2358373,17.61359327,48.89266,48.893,0.001,13,0.015,0.015,0.02553322,0,,,,
454224694,199.4322829,-19.37368459,276.8906,276.891,0.033,25,0.029,0.029,,0.01,,,,
