TIC_Number,TOI_Number,SG2/4 Status,"ID (HD, HIP, TYC, etc)",GAIA,Distance,Parallax,Gaia_Source,RA,pm_RA,Dec,pm_Dec,Reddening_mag,Reddening_uncertainty_min,Reddening_uncertainty_max,av,e_av,Teff,e_Teff,logg,e_logg,metallicity,e_metallicity,author,bibcode,SpType,Mult?,Gal_Lon,Gal_Lat
161477033,553.01-03,FA/PC/PC,,4811260680384564864,107.995,9.276692,DR3,73.2613,50.83262,-45.5404,67.48898,0.001,0.014,0.014,0.00331,0.04634,,,,,,,,,,N,251.02971,-39.29712295
164767175,266.01-02,PC/STPC,BD-19 302,5140454049422547200,101.8654,9.833871,DR3,26.20924,-87.1847,-18.4014,-110.783,0.001,0.014,0.014,0.00331,0.04634,5784,55,,,,,Masana,2006A&A...450..735M,,N,180.3462557,-74.92829178
166739520,190.01,KP,CD-50 714,4746157737910069888,158.1304,6.340895,DR3,36.77582,60.05787,-50.2844,24.6429,0.003,0.014,0.014,0.00993,0.04634,6026,17,4.35,0.02,-0.13,0.01,Sousa,2018A&A...620A..58S,,N,271.1608287,-60.52954416
167303382,802.01,PC,HD 47252,5279965341800818176,28.07453,35.63648,DR3,97.98569,-56.8812,-68.7119,-449.7,0.001,0.014,0.014,0.00331,0.04634,5228,33,,,,,Masana,2006A&A...450..735M,,N,279.0003272,-26.89234543
167342439,707.01,PC,,5280307324275126016,130.5593,7.676357,DR3,98.72958,-14.7496,-67.5373,-11.0734,0.003,0.016,0.016,0.00993,0.05296,,,,,,,,,,N,277.7334647,-26.47939816
167415965,214.01-02,CPC/PC,HD 48611,5266722205277801984,38.96972,25.67795,DR3,99.45868,-149.725,-70.9313,298.697,0.001,0.015,0.015,0.00331,0.04965,5330,17,4.48,0.06,-0.36,0.01,Tsantaki,2013A&A...555A.150T,,N,281.5367178,-26.62843614
170889511,2666.01,STPC,HD 80133,3837451574150437120,32.29713,30.9795,DR3,139.4809,23.26651,-3.38753,-63.8972,0,0.014,0.014,0,0.04634,5212,44,4.59,0.06,0.08,0.03,Valenti,2005ApJS..159..141V,,Y,234.9571671,30.20063268
179034327,444.01,VPC,,4895489043507741440,57.5111,17.40495,DR3,64.18399,-25.7659,-26.7664,-116.434,0.001,0.014,0.014,0.00331,0.04634,5000,250,4,0.5,0,0.5,TRES,,,Y,224.7921623,-44.58125087
183537452,192.01,KP,WASP-29,6534414719318886144,87.5814,11.43495,DR3,357.8792,-56.7666,-39.9071,-88.9883,0.002,0.015,0.015,0.00662,0.04965,5203,102,4.93,0.21,0.17,0.05,Mortier,2013A&A...558A.106M,,N,343.3206401,-72.18171176
188570092,294.01,P,,2594869603582993792,127.048,7.888039,DR3,339.0258,-108.585,-17.0003,-84.4373,0.01,0.014,0.014,0.0331,0.04634,4750,250,4.5,0.5,0,0.5,TRES,,,N,43.77781437,-57.171097
201793781,248.01,PC,,4743138925656526976,76.18808,13.14241,DR3,34.68431,93.6695,-54.8597,12.90275,0.001,0.015,0.015,0.00331,0.04965,,,,,,,,,,Y,279.0877973,-58.04065117
204376737,231.01,KP,WASP-6,2385171398768647552,200.3887,5.007301,DR3,348.1571,-23.264,-22.6741,-37.1435,0.009,0.015,0.015,0.02979,0.04965,5383,41,4.52,0.06,-0.14,0.03,Mortier,2013A&A...558A.106M,,N,38.73105162,-67.19550615
207141131,179.01,VPC,,4728513943538448512,38.65826,25.88469,DR3,44.26201,-36.6614,-56.1919,50.55833,0.001,0.014,0.014,0.00331,0.04634,,,,,,,,,,N,273.9281903,-53.27788229
209459275,559.01,P,,5057924844082070016,233.8143,4.293899,DR3,46.81861,-22.9828,-31.163,-69.795,0.006,0.015,0.015,0.01986,0.04965,6500,0.5,5,0.5,0,0.5,TRES,,,N,228.9147127,-60.18390284
219205407,946.01,APC,,5549740136101187840,167.1973,5.997957,DR3,92.8339,-12.9347,-51.4666,12.391,0.003,0.014,0.014,0.00993,0.04634,,,,,,,,,,N,259.444706,-26.94989024
219229644,870.01,VPC+,,4782093729275660160,53.86343,18.58247,DR3,63.31931,105.1005,-50.9443,50.31201,0.001,0.014,0.014,0.00369,0.05166,,,,,,,,,,N,259.2174742,-45.32303993
219338557,133.01,VPC,,6489346046933733632,48.5198,20.62714,DR3,354.3974,196.6552,-58.9551,-102.693,0.002,0.015,0.015,0.00662,0.04965,,,,,,,,,,N,319.7766504,-55.69239795
219344917,871.01,PPC,,4783664690873269888,67.94806,14.73412,DR3,74.73761,-79.2141,-50.6274,-121.69,0.001,0.014,0.014,0.00331,0.04634,,,,,,,,,,N,257.5279986,-38.21388416
224225541,251.01,VP,,6539037542941988736,101.178,9.900576,DR3,353.0621,44.65965,-37.2559,1.741103,0.002,0.015,0.015,0.00662,0.04965,6000,250,4.5,0.5,0,0.5,TRES,,,N,356.7337553,-70.48424207
230982885,195.01,KP,,4911563216311083392,151.1599,6.63251,DR3,24.60516,96.23959,-55.772,20.86931,0.003,0.015,0.015,0.00993,0.04965,,,,,,,,,,N,289.6419135,-60.12745628
231728511,864.01,VPC,,4772266186971169792,38.03862,26.30607,DR3,81.44337,-123.273,-51.357,5.047135,0,0.014,0.014,0,0.05166,,,,,,,,,,N,258.4112121,-33.99159185
