solution_id,source_id,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,target_id,epoch,blue_minus_red,distance,abs_g_mag
1.64E+18,4.88E+18,10.441224,10.763134,9.956972,TIC_1167538_,2000,0.806162,149.7327,4.56464072
1.64E+18,5.18E+18,9.484146,9.999219,8.816643,TIC_4646810_,2000,1.182576,45.77391,6.181055943
1.64E+18,2.39E+18,10.158985,10.465222,9.691225,TIC_9033144_,2000,0.773997,159.0725,4.151009467
1.64E+18,2.47E+18,11.215379,11.997761,10.354557,TIC_10837041_,2000,1.643204,59.54387,7.341193711
1.64E+18,4.82E+18,12.125183,12.826344,11.317027,TIC_14165625_,2000,1.509317,106.3409,6.991681342
1.64E+18,5.45E+18,10.965907,11.67966,10.15328,TIC_20318757_,2000,1.52638,56.50516,7.205466455
1.64E+18,5.66E+18,7.78381,8.083978,7.311753,TIC_22221375_,2000,0.772225,45.63486,4.487326387
1.64E+18,5.40E+18,8.432911,8.742702,7.9470687,TIC_23434737_,2000,0.7956333,65.03466,4.367186629
1.64E+18,2.91E+18,8.79872,9.3342085,8.114671,TIC_31374837_,2000,1.2195375,32.64276,6.22978564
1.64E+18,3.77E+18,11.893576,12.660082,11.039996,TIC_36734222_,2000,1.620086,87.2828,7.188932651
1.64E+18,2.43E+18,9.316666,10.124876,8.434608,TIC_37749396_,2000,1.690268,20.21887,7.7878816
1.64E+18,5.01E+18,10.480076,10.8548,9.935732,TIC_42054565_,2000,0.919068,99.79676,5.484493791
1.64E+18,4.89E+18,10.3033,10.691059,9.7399025,TIC_44797824_,2000,0.9511565,136.8958,4.62134938
1.64E+18,6.28E+18,11.121181,11.487207,10.587356,TIC_46096489_,2000,0.899851,193.2679,4.690382361
1.64E+18,6.62E+18,11.471012,11.821199,10.948309,TIC_47423120_,2000,0.87289,185.6954,5.127006272
1.64E+18,2.38E+18,11.6248455,12.121784,10.962956,TIC_47525799_,2000,1.158828,116.06,6.301432669
1.64E+18,4.64E+18,10.23991,10.553635,9.757098,TIC_50312495_,2000,0.796537,132.8453,4.623179031
1.64E+18,3.22E+18,10.415685,11.147908,9.586159,TIC_50618703_,2000,1.561749,40.94434,7.354715625
1.64E+18,4.70E+18,10.717915,11.134435,10.14061,TIC_52368076_,2000,0.993825,110.5545,5.500032876
1.64E+18,6.60E+18,10.07847,10.73707,9.301918,TIC_62483237_,2000,1.435152,42.4548,6.938836003
1.64E+18,2.32E+18,10.422201,10.799578,9.873177,TIC_63698669_,2000,0.926401,97.58715,5.475237826
1.64E+18,2.35E+18,9.431101,9.707844,8.985637,TIC_63898957_,2000,0.722207,113.8602,4.149241288
1.64E+18,3.00E+18,11.228879,11.543368,10.726058,TIC_67196573_,2000,0.81731,247.0254,4.265170944
1.64E+18,3.19E+18,11.377443,11.974628,10.646948,TIC_67782629_,2000,1.32768,92.08812,6.556424966
1.64E+18,5.02E+18,8.6779375,9.109069,8.081018,TIC_70513361_,2000,1.028051,44.17648,5.451981959
1.64E+18,3.19E+18,11.722184,12.717604,10.730307,TIC_70899085_,2000,1.987297,52.38683,8.126073403
1.64E+18,3.18E+18,10.858042,11.346024,10.212395,TIC_71013298_,2000,1.133629,94.30446,5.985380837
1.64E+18,4.86E+18,11.532965,12.727654,10.447706,TIC_77156829_,2000,2.279948,19.87166,10.04179426
1.64E+18,4.87E+18,9.834249,10.19132,9.295618,TIC_77253676_,2000,0.895702,93.07312,4.990127637
1.64E+18,6.52E+18,11.321884,11.73008,10.753226,TIC_89020549_,2000,0.976854,164.9068,5.235691178
1.64E+18,5.05E+18,11.029806,11.598981,10.315919,TIC_91555165_,2000,1.283062,81.43496,6.475751563
1.64E+18,6.67E+18,10.075539,10.366007,9.607109,TIC_101230735_,2000,0.758898,142.4721,4.306889871
1.64E+18,3.17E+18,11.688784,12.499164,10.804494,TIC_117799904_,2000,1.69467,61.45229,7.746093643
1.64E+18,2.98E+18,11.07425,11.531692,10.455226,TIC_117979694_,2000,1.076466,103.8422,5.992380597
1.64E+18,5.00E+18,11.548954,12.933047,10.387751,TIC_118327550_,2000,2.545296,22.08344,9.828620372
1.64E+18,5.57E+18,9.487699,9.883623,8.920367,TIC_119292328_,2000,0.963256,67.27284,5.348500188
1.64E+18,5.07E+18,8.86499,9.299795,8.260839,TIC_120896927_,2000,1.038956,44.89304,5.604094923
1.64E+18,5.06E+18,11.222718,11.871386,10.445969,TIC_122613513_,2000,1.425417,74.06158,6.874753136
1.64E+18,2.92E+18,12.180714,12.902794,11.3592615,TIC_123664207_,2000,1.5435325,92.96094,7.339211467
1.64E+18,3.78E+18,10.638457,10.99187,10.119058,TIC_124573851_,2000,0.872812,142.837,4.864253399
1.64E+18,6.28E+18,12.286576,13.484409,11.203058,TIC_125405602_,2000,2.281351,39.73562,9.290676031
1.64E+18,4.86E+18,11.494615,11.819893,10.985789,TIC_129839175_,2000,0.834104,215.9818,4.822529219
1.64E+18,6.16E+18,9.561536,9.956558,8.993749,TIC_130924120_,2000,0.962809,60.36953,5.657447026
1.64E+18,5.90E+18,5.48217,5.811649,4.9749002,TIC_136916387_,2000,0.8367488,14.74281,4.639268657
1.64E+18,6.54E+18,9.855705,9.909163,9.246136,TIC_139198430_,2000,0.663027,113.2225,4.5860413
1.64E+18,5.05E+18,10.620472,10.9256,10.149869,TIC_142868621_,2000,0.775731,159.153,4.611397853
1.64E+18,5.06E+18,9.823608,10.6207905,8.952203,TIC_142937186_,2000,1.6685875,28.55305,7.545345471
1.64E+18,6.51E+18,11.530279,11.951817,10.944369,TIC_144000801_,2000,1.007448,169.41,5.385583788
1.64E+18,6.52E+18,9.940329,10.272238,9.443357,TIC_144065872_,2000,0.828881,138.4869,4.233285531
1.64E+18,6.53E+18,9.213936,9.546949,8.709427,TIC_144440290_,2000,0.837522,85.54453,4.552974777
1.64E+18,2.97E+18,11.630299,12.109179,10.979615,TIC_146520535_,2000,1.129564,151.8405,5.723360874
1.64E+18,6.58E+18,11.229066,11.623366,10.669989,TIC_147203645_,2000,0.953377,172.6275,5.043516094
1.64E+18,4.76E+18,10.690116,10.970299,10.248254,TIC_149301575_,2000,0.722045,191.3437,4.281045162
1.64E+18,5.76E+18,9.302309,9.584562,8.85377,TIC_149845414_,2000,0.730792,105.5354,4.185318197
1.64E+18,5.48E+18,9.65673,10.101057,9.050667,TIC_150030205_,2000,1.05039,59.33354,5.790228699
1.64E+18,4.85E+18,12.544072,14.05042,11.340717,TIC_153065527_,2000,2.709703,30.92385,10.09260421
1.64E+18,4.81E+18,10.579851,10.993844,10.006278,TIC_161477033_,2000,0.987566,107.995,5.412832756
1.64E+18,5.14E+18,9.912852,10.254404,9.401155,TIC_164767175_,2000,0.853249,101.8654,4.872718526
1.64E+18,4.75E+18,10.031728,10.311153,9.586788,TIC_166739520_,2000,0.724365,158.1304,4.036651152
1.64E+18,5.28E+18,8.042465,8.444457,7.466893,TIC_167303382_,2000,0.977564,28.07453,5.800902528
1.64E+18,5.28E+18,10.589078,10.98313,10.036526,TIC_167342439_,2000,0.946604,130.5593,5.010038935
1.64E+18,5.27E+18,8.509679,8.889,7.956501,TIC_167415965_,2000,0.932499,38.96972,5.556042573
1.64E+18,4.88E+18,11.845511,12.185336,11.338442,TIC_168871868_,2000,0.846894,260.8627,4.763451075
