,TOI Number,TIC_Rstar,TIC_Mstar,Rplanet_old,Rplanet_old_e,Mplanet_old,semi_amp_old,ARIADNE_Rstar,ARIADNE_Mstar,ARIADNE_lum,Rplanet_new,Rplanet_new_e,Mplanet_new,semi_amp_new,teff_e_old,teff_e_new,rstar_e_old,rstar_e_new
45,2545.01,1.25,1.06,2.558,2.075654,7.087,2.19,1.1683117208893985,1.1883063071205302,1.647551305666598,2.390833105628065,0.0011989698837295319,6.305856393618502,1.7975887051280732,115.1,37.43,0.055,0.0185
46,286.02,0.79,0.86,1.999,0.351408,4.661,0.97,0.7898506232864081,0.8513820311292486,0.3850524465440962,1.9986220201892784,0.00046680983604167263,4.651834166511239,0.9734996122567597,122.5,30.284999999999997,0.047,0.01
47,286.01,0.79,0.86,1.487,0.397542,2.82,1.21,0.7898506232864081,0.8513820311292486,0.3850524465440962,1.4867188314264417,0.0003197849758456437,2.814846656818408,1.212682216709989,122.5,30.284999999999997,0.047,0.01
48,406.01,0.39,0.38,1.96,0.445934,4.509,2.33,0.4321432500490258,0.40675387005889163,0.017730952056202738,2.171796846400232,0.0006591394830942724,5.356672232395037,2.641776847209634,157.0,25.105,0.012,0.006999999999999999
49,406.02,0.39,0.38,1.273,3.296718,2.165,1.41,0.4321432500490258,0.40675387005889163,0.017730952056202738,1.4105598905446406,0.001355938642164952,2.574433722165504,1.5974928976624543,157.0,25.105,0.012,0.006999999999999999
50,553.03,0.88,0.91,2.732,0.199804,7.929,1.97,0.8639958880269448,0.9438787046332646,0.5362191697520977,2.682314506920015,0.0003043910581802603,7.665960034921934,1.86313645042207,126.5,27.535,0.049,0.009999999999999998
51,553.02,0.88,0.91,2.39,2.724066,6.315,1.88,0.8639958880269448,0.9438787046332646,0.5362191697520977,2.3465342868004524,0.001520821264218817,6.1087731411303245,1.776829105844174,126.5,27.535,0.049,0.009999999999999998
52,802.01,0.75,0.89,0.708,0.248636,0.283,0.13,0.7481543048694996,0.8166218732280014,0.3784568960759877,0.7062576637968077,0.0002994305527951868,0.2794138527390594,0.13230157931944403,104.6,40.89,0.037,0.015
53,707.01,1.02,0.94,2.407,1.012834,6.394,1.14,0.9938093980589154,1.0567510001517604,0.7700657158806452,2.345195314831186,0.000820569566911362,6.102856206001881,1.0026802060441489,107.3,32.46,0.05,0.0125
54,4191.01,1.1,1.05,2.276,1.328436,5.811,0.4,1.1263149711049096,1.0005803792298635,1.2652716306037533,2.330448067486158,0.0012464432425184462,6.037843938754023,0.4261530509087802,116.194,38.07,0.0502312,0.014499999999999999
55,2666.01,1.11,0.89,16.653,0.950689,317.0,10.16,1.1493652416549505,0.9528299566983625,0.8193623929533335,17.24358501736927,0.003414829137301521,43513.47765913039,-1,110.6,37.45,0.057,0.023
56,294.01,0.79,0.71,9.691,0.781804,68.231,28.19,0.7686808276043922,0.8011401960857158,0.22399123614998723,9.429475823182488,0.0018938751202450565,64.79236854255748,24.72514385055212,122.6,28.265,0.062,0.016
57,3493.01,1.21,1.06,3.388,1.125704,11.429,2.77,1.2278521878848887,1.0361870304112193,1.5921761152954832,3.4379861260776883,0.00108826256188645,11.683666467341498,2.876283461409322,126.031,40.675,0.0594473,0.016
58,179.01,0.8,0.85,2.676,0.701669,7.653,3.4,0.7944094127955064,0.8794650377508811,0.3745388260706655,2.657299485800969,0.0005104542942914901,7.544976660241394,3.2740557975623275,122.9,23.25,0.048,0.009999999999999998
59,559.01,1.21,1.1,12.227,0.562704,101.301,31.79,1.2431084273394746,0.9957222490856457,1.7155882391466468,12.56155929014856,0.0019548697612564617,-1.0,-1,124.7,34.03,0.055,0.0195
60,870.01,0.61,0.6,2.335,0.287695,6.071,1.95,0.6595109793274414,0.6371620130942229,0.075726633856452,2.5245215356222555,0.0010240111641370783,6.916121501735104,2.13036825872826,157.0,37.345,0.018,0.0135
61,133.01,0.65,0.67,2.204,0.640908,5.505,2.28,0.6384076343967365,0.6652118013349175,0.12390996074670584,2.1646929634006264,0.0007934397131033393,5.326958288169682,2.2168344105738775,118.6,30.689999999999998,0.056,0.012
62,871.01,0.73,0.81,1.687,1.3281828,3.492,1.06,0.7283604001816107,0.7744558928166336,0.2804361916810323,1.683210952200517,0.0006655466727759331,3.4752196179381145,1.084076682100811,117.4,26.245,0.045,0.008
63,251.01,0.96,1.04,2.881,2.832026,8.677,3.17,0.9471347595210394,1.0002379049531238,0.9249546725203553,2.8423908772709523,0.0018653461831396735,8.458765045685881,3.1755430426473845,119.2,38.095,0.045,0.013
