TIC Number,TOI_Number,ARIADNE_Radius,ARIADNE_rad_upper,ARIADNE_rad_lower,ARIADNE_Teff,ARIADNE_teff_upper,ARIADNE_teff_lower,ARIADNE_[Fe/H],ARIADNE_feh_upper,ARIADNE_feh_lower,ARIADNE_Logg,ARIADNE_logg_upper,ARIADNE_logg_lower,TICv8_Radius,TICv8_Radius_err,TICv8_Teff,TICv8_Teff_err,TICv8_Logg,TICv8_Logg_err,TICv8_[M/H],TICv8_[M/H]_err,Notes
382626661,283.01,0.806,0.012,0.009,5256.81,30.98,31.84,0.07,0.12,0.17,4.38,0.32,0.28,0.811,0.048,5245,127.1,4.5742,0.0823,99.9999,99.9999,Successful after removing sdss
391903064,3353.01-02,1.024,0.014,0.015,5646.55,47.86,41.57,-0.44,0.19,0.18,4.3,0.22,0.24,1.0207,0.0516508,5627,125.639,4.42027,0.0782587,,,No known stellar companions
403224672,141.01,,,,,,,,,,,,,1.132,0.049,5795.3,110.9,4.3475,0.074,99.9999,99.9999,Listed in Ziegler et al (2020) as a binary star
405425498,2227.01,1.093,0.013,0.012,6006.83,34.38,30.71,0.06,0.1,0.17,4.18,0.28,0.19,1.208,0.059,5763.5,121.1,4.2864,0.078,-0.0503,0.0669,
406976746,1063.01,0.79,0.01,0.01,5261.79,31.84,34.61,-0.05,0.12,0.22,4.39,0.26,0.28,0.792,0.045,5249,122.7,4.5951,0.0875,99.9999,99.9999,
413248763,562.01,0.385,0.009,0.005,3328.5,26.77,25.5,-0.5,0.2,0.17,5.03,0.11,0.34,0.36,0.011,3490,157,4.8641,0.0004,99.9999,99.9999,"Not in WDS or Ziegler paper, but listed as having multiplicity in TOI List tab of spreadsheet; successful after removing johnson u and sdss; ARIADNE did not seem to check WISE, may have photometry on vizier"
420051632,2429.01,0.914,0.017,0.02,5343.24,42.86,35.49,-0.1,0.15,0.24,4.24,0.42,0.17,0.843,0.052,5517.8,142.9,4.5734,0.0917,0.175,0.025,
425997655,174.01-04,0.734,0.008,0.008,4692.33,17.66,20.39,0.03,0.14,0.17,4.4,0.29,0.24,0.691,0.042,4813,111.6,4.6507,0.0813,-0.19,0.08,No known stellar companions; successful after removing sdss
429304876,682.01,0.973,0.015,0.014,5325.85,31.22,39.47,0.35,0.07,0.13,4.7,0.16,0.27,1.084,0.069,5085,131.4,4.2972,0.0885,0.27,0.1,No known stellar companions; successful after removing sdss
440887364,836.01-02,0.681,0.012,0.011,4246.47,27.01,33.55,-0.17,0.24,0.22,4.91,0.14,0.29,0.691,0.061,4250,119.7,4.5786,0.102,99.9999,99.9999,No known stellar companions; successful after removing sdss
441420236,2221.01,,,,,,,,,,,,,0.698,0.021,99999.9,99999.9,4.5712,0.0128,99.9999,99.9999,Found in WDS Catalog
453211454,509.01-02,,,,,,,,,,,,,0.962,0.043,5560.3,109.7,4.4626,0.0756,99.9999,99.9999,No known stellar companions; still unsuccessful after removing sdss
