TIC,TOI,SG1Disposition,Rplanet,Period,CK2016_Mass,PredictedK,Mstar_TIC8,Rstar_TIC8,Teff_TIC8
38510224,711.02,PC,2.233,35.943219,5.627,1.41,0.68,0.68,4386
279741379,186.01,P,2.838,35.613421,8.459,2.03,0.73,0.71,4497
32498058,4347.01,PC,4.03,35.357324,15.352,2.04,1.78,1.56,7617
55652896,216.01,P,9.651,34.55397,67.752,14.94,0.84,0.8,4905
27491137,2076.02,VPC?,4.305,33.689695,17.175,3.73,0.87,0.77,5163
149302744,699.02,PC,3.155,33.633763,10.124,1.82,1.16,1.42,6344
265460043,2272.01,PC,5.152,32.823682,23.308,4.08,1.22,2.63,6202
394029948,2110.01,PC,3.211,32.76639,10.436,1.92,1.14,1.39,5959
141186075,4307.01,PC,1.122,32.697291,1.469,0.27,1.14,1.1,6079
451599528,1104.01,STPC,21.172,32.615593,317,58.44,1.13,1.39,5967
357312511,3457.01,PC,9.327,32.598475,63.932,11.79,1.13,1.35,6068
396720998,709.01,VPC,3.677,32.376601,13.138,4.18,0.5,0.15,NaN
220459976,285.01,STPC,3.17,32.332528,10.209,2.81,0.62,0.64,3982
288636342,1692.02,PC,9.899,32.20708,70.737,11.6,1.36,1.46,6333
20299658,2536.01,VPC,13.475,31.994352,119.497,22.26,1.12,1.25,6045
259274960,4049.01,PC,10.892,31.400869,83.219,19.25,0.82,0.79,4953
176780257,4187.01,PC,5.3,30.88126,24.455,4.62,1.12,2.23,6047
160039081,2082.01,PC,2.698,30.200246,7.759,1.49,1.11,1.15,6004
138588540,1434.01,PC,2.029,29.889399,4.783,1.03,0.94,0.74,5340
425997655,174.02,P,1.485,29.797336,2.811,0.68,0.78,0.69,4696
270341214,173.01,VPC,12.019,29.753588,98.386,16.14,1.41,1.47,6517
32497972,876.01,PC,2.773,29.482902,8.133,2.39,0.59,0.6,3946
372758077,4168.01,PC,9.677,29.381625,68.059,13.15,1.11,1.15,6016
300038935,1228.01,PC,3.832,29.050166,14.09,1.77,2.13,1.8,7963
224596152,1734.01,PC,2.463,28.875281,6.649,1.35,1.03,0.99,5723
269701147,1339.02,P,3.034,28.580332,9.475,2.05,0.95,0.92,5461
388106759,810.01,PC,2.612,28.305391,7.348,1.52,1.02,1.4,5628
235678745,2095.02,VPC?,1.286,28.173889,2.201,0.78,0.46,0.46,3837
31637479,4182.01,PC,2.973,27.848316,9.153,2.01,0.94,1.56,5400
232982558,1439.01,PC,4.055,27.643024,15.515,3.15,1.06,1.62,5779
360156606,1227.01,VPC,7.288,27.360955,42.035,15.48,0.44,0.44,3072
329148988,2285.01,VPC+,1.904,27.269522,4.292,1.54,0.46,0.46,3650
258389327,2271.01,VPC,19.865,26.546113,317,60.81,1.18,1.68,5606
233688779,2254.01,PC,3.377,26.45438,11.366,2.41,1.02,1.37,5670
207237016,917.01,VPC+?,37.179,26.412693,317,62.69,1.13,2.63,5978
142276270,1136.03,PC,4.037,26.321864,15.4,3.25,1.03,0.98,5767
231912935,215.01,VPC,3.516,26.285126,12.174,2.58,1.02,0.96,5663
341630071,2147.01,VPC-,10.506,26.20459,78.267,15.35,1.15,1.34,6015
275703182,3761.01,PC,17.642,25.894483,317,88.16,0.68,0.74,4375
65347776,2418.01,PC,7.434,25.86696,43.474,10.43,0.86,0.8,5056
23434737,1203.01,VP,2.901,25.492499,8.78,1.87,1.03,1.17,5827
382463648,296.01,VPC,8.973,25.2584,59.864,13.89,0.91,0.95,5258
100757807,811.01,VPC,14.215,25.176013,130.861,26.46,1.12,1.24,5943
