TIC ID,TOI,TESS Disposition,TFOPWG Disposition,TESS Mag,TESS Mag err,RA,Dec,Period (days),Period (days) err,Duration (hours),Duration (hours) err,Depth (mmag),Depth (mmag) err,Depth (ppm),Depth (ppm) err,Planet Radius (R_Earth),Planet Radius (R_Earth) err,Planet Insolation (Earth Flux),Planet Equil Temp (K),Planet SNR,Stellar Distance (pc),Stellar Distance (pc) err,Stellar Eff Temp (K),Stellar Eff Temp (K) err,Stellar log(g) (cm/s^2),Stellar log(g) (cm/s^2) err,Stellar Radius (R_Sun),Stellar Radius (R_Sun) err,Stellar Metallicity, Stellar Metallicity err,Sectors,Date TOI Alerted (UTC),Date TOI Updated (UTC),Date Modified,Comments
283829553,2301.01,PC,PC,8.36872,0.006,14:16.5,28:07.8,6.054114,0.000133,4.578846,0.452007,0.258215,0.023887,237.796423,22.000534,2.58139,1.067131,721.212923,1321.708322,8.073111,120.221,0.3445,6187,123.849,4.09624,0.084399,1.61283,0.071482,,,"16,23,24",9/30/20,9/29/20,6/1/21 12:02,
144000801,2302.01,PC,APC,11.0075,0.006,22:25:07,-52:32:12.02,1.310383,0.000111,1.624022,0.086278,4.247318,0.170998,3904.282474,157.48242,9.860322,9.513131,1134.277973,1480.129192,21.139233,171.909,1.2375,5228,123.146,4.45189,0.082339,0.928507,0.052764,,,28,10/1/20,9/30/20,6/1/21 12:02,V-shaped; there may be some phase offset in odd/even transits
70420766,2304.01,PC,PC,10.2356,0.006,37:44.7,-30:36:29.81,9.409039,0.002422,2.61411,0.786447,1.016702,0.122237,935.979025,112.57842,3.855294,3.094758,237.546832,1001.283501,7.526878,218.091,1.722,6223,125.865,4.33525,0.08309,1.2331,0.055837,,,28,10/1/20,10/1/20,6/1/21 12:02,Low SNR (8.5); period can be double
232079930,2305.01,PC,APC,12.8483,0.006,58:25.9,-66:20:20.96,0.918902,0.000101,1.781955,0.121385,7.319515,0.446291,6718.849291,410.9644,15.210919,15.423432,3475.711291,1958.306535,11.786521,568.299,7.459,5382,5385.2,4.4,2,1.1659,0.080618,0.33329,0.0959549,"28,29",10/1/20,11/6/20,6/1/21 12:02,v-shaped; grazing incidence; likely EB; also observed in S01
147284470,2306.01,PC,PC,13.3456,0.006,39:12.2,-44:22:30.98,2.990661,0.000379,1.665468,0.174553,11.433821,0.627087,10475.68174,577.40155,11.376274,1.301726,679.853676,1302.337698,15.514954,694.32,10.798,5535.6,5576.3,4.4,,1.10305,,,,28,10/1/20,9/30/20,6/1/21 12:02,2 stars in pixel; also observed in S01
270219048,2307.01,PC,PC,12.2294,0.008,00:32.6,-29:08:54.92,2.681646,0.00025,1.768811,0.077928,9.360724,0.742751,8584.486099,683.86456,14.216216,1.515114,1028.278694,1444.266903,21.313967,470.156,9.488,5465,5562.2,4.4,2,1.285,0.071246,,,28,10/1/20,9/30/20,7/10/21 0:00,V-shaped; slight odd-even; 2 stars in pixel; centroid closer to nearest faint neighbor; also observed in S01
234489976,2308.01,PC,PC,12.2397,0.006,35:55.3,-64:43:20.79,3.868564,0.000565,2.341942,0.116671,8.76994,0.848859,8044.878201,781.5224,14.082304,1.509675,957.976732,1418.921893,20.720743,613.155,14.5875,6373.5,6567.6,4.2,,1.33378,0.064925,,,"28,29",10/1/20,11/6/20,6/1/21 12:02,Slight odd-even; Gaia DR2 RV error ~4.3 km/s; also observed in S01
328012209,2309.01,PC,PC,10.0596,0.006,11:46.8,-68:34:12.43,10.153667,0.003331,5.944175,0.703424,0.883835,0.089563,813.710842,82.48734,4.005365,1.356632,272.020635,1035.786418,9.481964,223.516,1.297,6276.1,117.07,4.25063,0.085631,1.37617,0.061583,-0.24,0.1,28,10/1/20,1/11/21,6/1/21 12:02,Period could be double; v-shaped; centroid offset towards not a particularly bright star; artifact TIC 328012208 close by
38467100,2310.01,PC,PC,12.9565,0.006,06:05.8,-60:28:02.11,2.943208,0.000002,2.49,0.058,13.767193,0.001054,12600,0.970361,13.5998,1.92032,328.795,1186,105,,,5266.7,5383.5,,,1.18,0.17,,,"1,2,3,4,5,8,11,28,29,30,31,32,35",10/1/20,6/11/21,6/21/21 12:03,good transit shape; unknown stellar radius and temperature; planet radius unknown; also observed in S01
25139786,2311.01,PC,APC,12.0892,0.006,45:05.5,-20:01:57.05,1.593377,0.000176,1.773257,0.086427,8.547928,0.436574,7842.022144,402.01895,9.012542,0.348522,785.595432,1350.266481,15.2446,264.874,,5289.4,5240.2,4.5,2,0.885125,,,,28,10/1/20,9/30/20,6/1/21 12:02,Possible secondary consistent with planetary origin; possibly EB; also observed in S01
147425389,2312.01,PC,PC,12.526,0.006,50:28.2,-46:17:42.92,3.185687,0.000505,3.218099,0.135865,8.593401,0.317108,7883.575076,292.02438,9.699658,0.302299,556.440344,1238.723573,22.754728,490.314,,5590.5,5635.3,4.4,,1,,,,28,10/1/20,9/30/20,6/1/21 12:02,no stellar radius; Teff ~5600 K; plx ~ 1.66 mas; also observed in S01
325468685,2313.01,PC,PC,11.449,0.037,39:16.1,-78:44:47.5,1.890403,0.00022,1.431766,0.122031,4.350947,0.280468,3999.351561,258.2876,10.38823,14.857638,1115.878387,1474.089885,13.028671,330.949,,5816,190,4.3,2,1,,,,28,10/1/20,9/30/20,6/1/21 12:02,possibly synchronized; also observed in S01
355446093,2314.01,PC,PC,11.7493,0.006,23:28.7,-52:10:33.39,15.937546,0.006529,4.539534,0.304738,4.539486,0.430572,4172.292483,396.49298,11.922055,0.999895,180.268265,934.543603,14.881924,540.268,9.0505,6093.1,6117.3,4.1,0.5,1.55033,0.073638,,,28,10/1/20,9/30/20,6/1/21 12:02,v-shaped; also observed in S01
302333151,2315.01,PC,APC,11.0675,0.006,22:05.8,-27:33:15.87,1.440823,0.000107,1.745704,0.06575,4.864729,0.258612,4470.558083,238.16164,9.783556,1.511324,2629.046723,1826.288253,24.189308,290.436,5.3815,5941.2,5990,4.3,0.6,1.16489,0.057085,,,28,10/1/20,9/28/20,7/21/21 12:01,v-shaped; also observed in S01
61980227,2316.01,PC,PC,12.0516,0.011,22:08.9,-30:45:50.14,3.095898,0.000291,1.858468,0.101722,11.301404,0.534653,10354.9917,492.3127,19.244395,15.441661,1246.352843,1515.409487,21.442627,539.486,13.1975,6764,6750.8,4.3,2,1.25844,0.061613,,,28,10/1/20,9/30/20,6/1/21 12:02,possible synchronization; slight odd-even; large; also observed in S01
88840705,2318.01,PC,PC,8.6512,0.008,30:21.4,22:10.1,0,0,4.683304,0.177614,2.989027,0.164092,2749.209937,151.12294,6.507119,2.000792,9.190901,444.078019,24.665766,45.0103,,4968,,4.438,,0.844548,,,,"25,26",10/5/20,10/7/20,6/1/21 12:02,CTOI from Planet Hunters
349488688,2319.01,PC,CP,8.40302,0.006,55:08.4,29:29.5,0,0,6.326219,0.266895,0.674213,0.049674,620.780137,45.750603,3.665492,0.378963,371.270241,1119.546882,12.330602,107.898,0.317,6329,134.955,4.24509,0.092576,1.39619,0.06407,,,25,10/5/20,10/7/20,6/10/21 12:01,CTOI from Planet Hunters
138126035,2321.01,PC,PC,9.84325,0.006,06:56.7,32:57.6,0,0,3.076075,0.888933,0.996748,0.13726,917.617336,126.41321,2.975639,2.882832,109.367912,824.787803,7.32393,120.535,0.6485,5645.84,105.274,4.46148,0.07282,0.974373,0.042965,-0.103,0.017,23,10/5/20,10/7/20,6/1/21 12:02,CTOI from Planet Hunters
300812741,2322.01,PC,PC,10.0534,0.006,47:53.5,-71:00:07.08,20.2256243,0.0000915,2.05,0.431,0.499554,0.000912,460,0.839989,1.61696,0.149524,3.81947,389,13,59.861,0.07945,4465,125.1,4.6,0.1,0.7,0.06,,,"1,2,3,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,35,36,37",10/7/20,8/4/21,8/10/21 0:00,TFOP work in progress.
69819610,2324.01,PC,PC,9.14425,0.006,31:32.9,-23:09:54.18,1.0371,0.00034,2.856,0.253,0.314909,0.000568,290,0.522698,2.49221,0.164519,9578.57,2756,16,165.158,1.09,6413,134.4,4.2,0.09,1.5,0.07,,,28,10/7/20,10/7/20,6/1/21 12:02,possible odd even; noisy
152800085,2325.01,PC,PC,9.5103,0.006,54:10.7,-36:17:16,4.26991,0.00002,1.509,0.271,2.434777,0.015952,2240,14.6924,8.95578,0.777438,667.336,1415,12,223.852,1.705,6580,127.7,4.16,0.09,1.62,0.07,,,"2,28",10/7/20,10/7/20,6/1/21 12:02,two stars in pixel; possible slight secondary at 0.5 phase
175456679,2326.01,PC,PC,9.456,0.019,21:57.9,-40:10:27.67,42.91305,0.0065,5.733,0.235,3.501711,0.001111,3220,1.02307,,,21.0496,596,21,154.124,,,,,,,,,,"2,28",10/7/20,10/7/20,6/1/21 12:02,Gaia DR2 RV error 3.5 km/s
177308364,2327.01,PC,PC,9.4088,0.006,53:41.3,-73:04:32.57,82.789149,0.000359,5.839127,0.254158,1.163997,0.090141,1071.506561,83.01935,3.166066,0.44869,6.459215,406.597482,11.404295,100.351,0.194,6115,194,4.5616,0.270556,0.957772,0.045729,,,"1,2,3,4,5,6,7,8,9,10,11,12,13,27,28,29,30,31,32,33,34,35,36",10/7/20,7/15/21,7/26/21 12:04,Variable star
394287035,2328.01,PC,PC,11.584,0.006,06:45.8,-81:14:50.55,17.102093,0.001317,3.360988,0.105496,12.222781,0.26433,11194.46775,243.42764,9.893972,0.633194,41.583593,647.664739,42.77992,231.782,1.1035,5302.3,5297.2,4.4,0.4,0.932732,0.049485,,,28,10/7/20,10/2/20,6/1/21 12:02,period could be half
238920875,2329.01,PC,PC,11.7944,0.006,17:06.9,-52:20:18.61,6.534669,0.000009,3.326,0.129,7.080321,0.000652,6500,0.600624,10.8572,0.702904,125.659,928,20,333.701,2.165,5424,282.9,3.35,0.15,1.33,0.08,-0.05,0.09,"1,5,6,7,8,11,28,32,34,35",10/23/20,6/11/21,6/21/21 12:03,ephemeris match to nearby neighbor 238920875; this is the brighter star; CTOI from Marco Montalto
180991313,2330.01,KP,KP,11.8699,0.006,31:26.1,-41:41:22.26,2.208836,0.000117,2.736588,0.066106,9.059953,0.195794,8309.806525,180.31703,11.677948,0.615345,1546.112407,1599.30029,32.16623,416.784,5.6845,5960.4,104.5,4.27,0.08,1.26384,0.056628,0.0136379,0.0655032,"10,36,37",10/23/20,7/9/21,7/13/21 12:04,brown dwarf; WASP 128b; 37 Mjup; CTOI from Marco Montalto
168751223,2331.01,PC,PC,13.3666,0.007,10:41.2,-32:59:32.78,4.715094,0.000024,2.436,0.791,8.129955,3.390015,7460,3117.45,7.48939,3.52456,118.46,919,14,163.356,0.585,3798,157,4.67,0.01,0.57,0.02,,,"4,5,31",10/23/20,1/29/21,6/1/21 12:02,2 stars in pixel; possible odd-even; CTOI from Marco Montalto
286000547,2332.01,PC,PC,12.2015,0.007,18:58.0,-15:18:29.09,7.4919,0.00021,3.86,0.716,15.065486,0.036778,13780,33.8736,12.4131,0.883758,255.09,1113,39,360.478,5.8805,5596.2,116.1,4.43,0.08,1,0.05,0.128624,0.0666659,8,10/23/20,10/23/20,7/26/21 12:04,Period may be double (15 days). CTOI from Marco Montalto.
358579111,2333.01,PC,PC,12.3462,0.006,36:53.1,-60:03:41.31,14.219764,0.000114,6.416,0.8,2.598015,0.002462,2390,2.26734,8.78678,0.541437,215.552,1067,16,817.874,16.175,6115,128.6,3.97,0.09,1.83,0.09,,,"2,3,4,29,30,31",10/23/20,1/29/21,6/1/21 12:02,Depth-aperture but no bright stars nearby; CTOI from Marco Montalto
200743403,2334.01,PC,PC,12.1385,0.006,16:37.0,-48:06:28.5,7.998083,0.000026,3.047,0.302,4.308051,0.003192,3960,2.9403,10.9403,0.717797,97.3629,875,28,593.163,17.5995,5556,131.5,3.97,0.08,1.7,0.1,,,"3,4,30,31",10/23/20,2/1/21,6/1/21 12:02,CTOI from Marco Montalto; some odd-even but only one even transit; slight depth aperture correlation
160003961,2335.01,PC,PC,12.1323,0.006,23:18.4,-40:27:12.66,1.449205,0.000003,1.104,0.152,1.303666,0.003153,1200,2.90396,6.15666,0.36231,551.777,1350,22,439.747,4.048,6004.9,117.5,4.39,0.08,1.12,0.05,-0.66,0.12,"3,4,30,31",10/23/20,1/28/21,6/1/21 12:02,very slight depth aperture correlation; CTOI from Marco Montalto
88902249,2336.01,PC,PC,10.1757,0.006,20:55.3,-33:41:32.86,7.7054,0.00135,4.308,0.441,3.95929,0.001921,3640,1.76943,11.1592,0.59903,416.83,1258,22,297.716,5.75,6458,131.6,4.03,0.09,1.83,0.09,,,11,10/23/20,10/23/20,7/30/21 12:04,period could be double (15.4 d); CTOI from Marco Montalto
230001847,2337.01,PC,PC,11.2347,0.007,22:28.8,51:14.0,2.9943,0.00008,5.994,0.317,0.738552,0.00041,680,0.377663,8.20733,,1523.88,1740,29,536.046,5.9135,4784,122,,,3.23,,,,26,10/23/20,10/19/20,6/3/21 0:00,Possible EB; check neighbors; CTOI from Samuel Grunblatt
24358417,2338.01,PC,PC,11.7024,0.006,25:22.7,-34:40:05.7,22.653961,0.00004,3.468,0.209,12.591267,0.001554,11530,1.43086,12.2765,0.676669,13.8485,537,55,313.996,1.968,5523,131.7,4.33,0.08,1.12,0.06,,,"5,6,32",10/23/20,2/2/21,6/1/21 12:02,Slight depth aperture correlation; CTOI from Marco Montalto
279514271,2339.01,PC,PC,11.9507,0.006,03:02.9,-55:22:05.82,9.772825,0.000059,6.7,0.368,1.488478,0.000777,1370,0.715806,8.666,0.508634,333.626,1190,11,753.745,11.069,5636.8,117.5,3.66,0.08,2.44,0.13,0.0573276,0.064299,"2,3,6,7,8,9,12,13,29,30,32,33,34,35",10/23/20,6/11/21,6/21/21 12:03,CTOI from Marco Montalto
